nutrition_id,food_name,serving_size,serving_unit,calories,protein,carbs,sugars,source,created_at,updated_at
f1c06ba3-25ce-4eea-9200-a8da75fa4fa9,RegAuthFoodItem,1,tbsp,60,0,17,17,scan,2025-11-27 04:02:21.081203+00,2025-11-27 04:02:21.081203+00
0f63bcda-a873-440f-b893-618b936ca8ab,RefreshTestItem,null,null,60,0,17,17,scan,2025-11-27 04:04:57.981889+00,2025-11-27 04:04:57.981889+00
1a9440fa-2026-4314-b547-3a24795d378b,RefreshTestItem2,null,null,60,0,17,17,scan,2025-11-27 04:05:57.46659+00,2025-11-27 04:05:57.46659+00
09119bc5-b155-4d58-8279-06f5865b9c49,RefreshTestagain,null,null,60,0,17,17,scan,2025-11-27 04:06:36.48907+00,2025-11-27 04:06:36.48907+00
000d7c5f-1c65-4e05-82c7-609d970e698f,lastrefreshtestplease,null,null,60,0,17,17,scan,2025-11-27 04:08:45.131121+00,2025-11-27 04:08:45.131121+00
fb1bebed-a741-4c0d-a8d6-de9a6d7c8e2f,test all empty fields,null,null,null,null,null,null,scan,2025-11-27 04:14:05.856202+00,2025-11-27 04:14:05.856202+00
b08722a8-c32c-4eb1-ad1e-b18bd7800b81,Milk,8,fl,120,8,12,12,scan,2025-11-27 07:05:05.503825+00,2025-11-27 07:05:05.503825+00
53b8581e-3a7a-4d90-93d9-b49a5f5f973d,NonImageExample,null,null,null,null,null,null,scan,2025-11-27 07:08:38.288044+00,2025-11-27 07:08:38.288044+00
a3b03959-6763-4d15-9b5e-b604fd5eb6d2,Protein Milk,1,shake,160,30,null,1,scan,2025-11-27 07:10:29.361555+00,2025-11-27 07:10:29.361555+00
62cd6cb8-607e-49e2-bbf1-e4d3016b86c4,Test,null,null,null,null,null,null,scan,2025-11-27 07:14:19.03564+00,2025-11-27 07:14:19.03564+00
13682e29-9bdd-4ea1-8386-04c6c65cc924,Test2,null,null,null,null,null,null,scan,2025-11-27 07:18:51.289889+00,2025-11-27 07:18:51.289889+00
